x1,y1,theta1,phi1,v1,a1
2.5,-10,1.5708,0,10,0
2.49994,-8.99929,1.57097,0.00140591,10.0214,0.427094
2.49954,-7.99434,1.57147,0.00257499,10.0845,0.835417
2.49848,-6.98106,1.57225,0.00352715,10.1875,1.2251
2.4965,-5.95557,1.57325,0.0042813,10.3286,1.59629
2.49334,-4.91415,1.57444,0.0048554,10.5058,1.94914
2.48878,-3.85327,1.57578,0.00526655,10.7175,2.28385
2.48259,-2.76959,1.57724,0.00553103,10.9617,2.6006
2.47458,-1.65995,1.57879,0.00566438,11.2367,2.89959
2.46455,-0.521351,1.58041,0.00568143,11.5408,3.18105
2.45233,0.649007,1.58206,0.00559631,11.8721,3.4452
2.43776,1.85376,1.58372,0.00542253,12.2289,3.69228
2.42068,3.09539,1.58536,0.00517295,12.6097,3.92255
2.40099,4.37617,1.58697,0.00485981,13.0126,4.13626
2.37857,5.69826,1.58852,0.00449474,13.4361,4.33369
2.35336,7.06361,1.58998,0.00408871,13.8786,4.51512
2.32531,8.47404,1.59134,0.00365208,14.3384,4.68082
2.29444,9.9312,1.59259,0.00319455,14.814,4.83109
2.26076,11.4366,1.59371,0.00272514,15.3038,4.96625
2.22436,12.9916,1.59467,0.00225215,15.8065,5.08659
2.18533,14.5974,1.59548,0.00178317,16.3204,5.19244
2.14384,16.255,1.59613,0.00132505,16.8442,5.28412
2.10008,17.9654,1.5966,0.000883851,17.3766,5.36196
2.05427,19.7294,1.59689,0.000464832,17.916,5.4263
2.00667,21.5476,1.59702,7.24584e-05,18.4612,5.47749
1.95757,23.4205,1.59697,-0.000289628,19.0108,5.51588
1.90729,25.3486,1.59675,-0.000618599,19.5637,5.54183
1.85616,27.332,1.59637,-0.000912429,20.1186,5.5557
1.80453,29.371,1.59583,-0.00116988,20.6743,5.55788
1.75276,31.4656,1.59516,-0.00139046,21.2296,5.54873
1.7012,33.6156,1.59437,-0.00157438,21.7835,5.52864
1.65019,35.821,1.59346,-0.00172252,22.3348,5.49802
1.60009,38.0813,1.59245,-0.00183632,22.8826,5.45726
1.5512,40.3962,1.59136,-0.00191776,23.4258,5.40676
1.50382,42.7653,1.59021,-0.00196924,23.9634,5.34695
1.45823,45.1878,1.58901,-0.0019935,24.4947,5.27825
1.41466,47.6632,1.58778,-0.00199356,25.0187,5.20108
1.37332,50.1906,1.58653,-0.00197258,25.5345,5.11589
1.33438,52.7691,1.58527,-0.00193384,26.0415,5.02311
1.29799,55.398,1.58401,-0.00188059,26.5388,4.92321
1.26426,58.0761,1.58278,-0.00181603,27.0258,4.81664
1.23326,60.8024,1.58156,-0.00174322,27.5018,4.70387
1.20505,63.5757,1.58038,-0.001665,27.9663,4.58538
1.17966,66.395,1.57924,-0.00158393,28.4186,4.46165
1.15708,69.2588,1.57813,-0.00150222,28.8584,4.33318
1.13731,72.1661,1.57707,-0.00142158,29.285,4.20047
1.12033,75.1153,1.57605,-0.00134298,29.6983,4.06404
1.10609,78.1052,1.57508,-0.00126616,30.0977,3.92437
1.09455,81.1343,1.57415,-0.00118967,30.483,3.78199
1.08565,84.2013,1.57326,-0.00111091,30.854,3.63739
1.0793,87.3046,1.57243,-0.00102649,31.2104,3.49106
1.07538,90.4428,1.57167,-0.000932863,31.5521,3.34346
1.07375,93.6145,1.57097,-0.000826773,31.879,3.19504
1.07421,96.8181,1.57035,-0.000705553,32.1911,3.04626
1.0765,100.052,1.56984,-0.00056738,32.4883,2.89751
1.0803,103.315,1.56944,-0.000411456,32.7706,2.74921
1.08524,106.606,1.56917,-0.000238124,33.0382,2.60173
