x1,y1,theta1,phi1,v1,a1
2.5,-10,1.5708,0,10,0
2.49994,-8.9998,1.57099,0.00154257,10.006,0.120749
2.49949,-7.99839,1.57154,0.00284269,10.0242,0.241868
2.49835,-6.99456,1.57239,0.00391999,10.0544,0.363018
2.49621,-5.98711,1.57348,0.00479314,10.0968,0.483872
2.49285,-4.97482,1.57478,0.00547982,10.1512,0.604121
2.48805,-3.95649,1.57625,0.00599673,10.2175,0.723466
2.48166,-2.93095,1.57783,0.0063596,10.2958,0.841623
2.47353,-1.897,1.5795,0.00658323,10.3858,0.958324
2.46354,-0.853481,1.58123,0.00668152,10.4874,1.07331
2.45161,0.200743,1.58299,0.00666748,10.6004,1.18634
2.43767,1.2668,1.58475,0.00655335,10.7245,1.29719
2.42166,2.3458,1.58649,0.0063506,10.8597,1.40562
2.40357,3.43883,1.58819,0.00606997,11.0055,1.51145
2.38338,4.54692,1.58982,0.00572157,11.1618,1.61447
2.3611,5.67112,1.59138,0.0053149,11.3283,1.7145
2.33677,6.81242,1.59283,0.00485891,11.5046,1.81138
2.31043,7.97179,1.59416,0.00436203,11.6904,1.90494
2.28216,9.15017,1.59537,0.00383224,11.8854,1.99504
2.25206,10.3484,1.59644,0.00327709,12.0892,2.08154
2.22022,11.5675,1.59735,0.00270372,12.3015,2.16431
2.18679,12.8081,1.5981,0.00211894,12.5219,2.24324
2.15192,14.0712,1.59867,0.0015292,12.7499,2.31822
2.11578,15.3574,1.59907,0.00094064,12.9853,2.38917
2.07857,16.6675,1.59928,0.000359082,13.2276,2.45599
2.04051,18.0021,1.59931,-0.000209939,13.4763,2.51861
2.00182,19.3618,1.59914,-0.000761191,13.7311,2.57697
1.96276,20.7474,1.59878,-0.00128974,13.9915,2.63102
1.9236,22.1592,1.59824,-0.00179096,14.2571,2.68071
1.88462,23.5979,1.59751,-0.00226056,14.5274,2.726
1.84609,25.0638,1.5966,-0.00269457,14.802,2.76687
1.80833,26.5574,1.59552,-0.0030894,15.0806,2.8033
1.77162,28.0791,1.59428,-0.00344183,15.3625,2.83528
1.73628,29.6292,1.59289,-0.00374906,15.6474,2.86282
1.7026,31.2079,1.59135,-0.00400875,15.9348,2.88593
1.67086,32.8155,1.5897,-0.004219,16.2244,2.90463
1.64135,34.4522,1.58794,-0.00437842,16.5155,2.91894
1.61432,36.1182,1.58609,-0.00448612,16.8079,2.92891
1.59,37.8135,1.58418,-0.00454176,17.1011,2.93458
1.5686,39.5381,1.58222,-0.00454554,17.3946,2.936
1.55031,41.2922,1.58024,-0.00449823,17.6881,2.93325
1.53524,43.0756,1.57826,-0.00440114,17.9811,2.92639
1.52351,44.8882,1.57629,-0.00425613,18.2732,2.9155
1.51516,46.7301,1.57438,-0.00406561,18.564,2.90069
1.5102,48.601,1.57253,-0.00383249,18.8531,2.88204
1.5086,50.5006,1.57078,-0.00356017,19.1402,2.85966
1.51024,52.4289,1.56913,-0.00325247,19.4249,2.83368
1.515,54.3855,1.56763,-0.00291365,19.7068,2.80422
1.52267,56.3701,1.56627,-0.00254828,19.9855,2.77141
1.533,58.3825,1.56509,-0.00216127,20.2609,2.7354
1.5457,60.4221,1.56409,-0.00175774,20.5325,2.69634
1.56043,62.4887,1.56329,-0.00134302,20.8,2.65439
1.57681,64.5819,1.56269,-0.000922563,21.0632,2.60972
1.59442,66.7011,1.56232,-0.000501901,21.3218,2.56252
1.61281,68.8459,1.56216,-8.65804e-05,21.5756,2.51296
